category,lawName,ENG,KOR
선거ㆍ정당,정치자금법,"(7) Deleted. <Feb. 29, 2012>",⑦ 삭제 <2012. 2. 29.>
행정일반,개인정보 보호법 시행령,"[This Article Newly Inserted on Aug. 4, 2020]",[본조신설 2020. 8. 4.]
행정일반,개인정보 보호법 시행령,"(3) Deleted. <Aug. 4, 2020>",③ 삭제 <2020. 8. 4.>
행정일반,개인정보 보호법 시행령,"[This Article Newly Inserted on Aug. 4, 2020]",[본조신설 2020. 8. 4.]
행정일반,개인정보 보호법 시행령,"[This Article Newly Inserted on Aug. 4, 2020]",[본조신설 2020. 8. 4.]
행정일반,개인정보 보호법 시행령,"[This Article Newly Inserted on Jul. 22, 2016]",[본조신설 2016. 7. 22.]
행정일반,개인정보 보호법 시행령,"[This Article Newly Inserted on Jul. 22, 2016]",[본조신설 2016. 7. 22.]
행정일반,개인정보 보호법 시행령,"[This Article Newly Inserted on Aug. 4, 2020]",[본조신설 2020. 8. 4.]
행정일반,개인정보 보호법 시행령,"[This Article Newly Inserted on Sep. 29, 2016]",[본조신설 2016. 9. 29.]
행정일반,개인정보 보호법 시행령,2. When notification is made;,2. 알린 시기
행정일반,개인정보 보호법 시행령,3. How notification is made.,3. 알린 방법
행정일반,개인정보 보호법 시행령,1. A public institution;,1. 공공기관
행정일반,개인정보 보호법 시행령,"[This Article Newly Inserted on Dec. 30, 2015]",[본조신설 2015. 12. 30.]
행정일반,개인정보 보호법 시행령,"1. Deleted; <Sep. 29, 2016>",1. 삭제 <2016. 9. 29.>
행정일반,개인정보 보호법 시행령,"2. Deleted; <Sep. 29, 2016>",2. 삭제 <2016. 9. 29.>
행정일반,개인정보 보호법 시행령,"3. Deleted. <Sep. 29, 2016>",3. 삭제 <2016. 9. 29.>
행정일반,개인정보 보호법 시행령,"[This Article Newly Inserted on Aug. 4, 2020]",[본조신설 2020. 8. 4.]
행정일반,개인정보 보호법 시행령,"[This Article Newly Inserted on Aug. 4, 2020]",[본조신설 2020. 8. 4.]
행정일반,개인정보 보호법 시행령,"[This Article Newly Inserted on Aug. 4, 2020]",[본조신설 2020. 8. 4.]
행정일반,개인정보 보호법 시행령,"[This Article Newly Inserted on Aug. 4, 2020]",[본조신설 2020. 8. 4.]
행정일반,개인정보 보호법 시행령,"[This Article Newly Inserted on Aug. 4, 2020]",[본조신설 2020. 8. 4.]
행정일반,개인정보 보호법 시행령,"2. Deleted; <Aug. 4, 2020>",2. 삭제 <2020. 8. 4.>
행정일반,개인정보 보호법 시행령,"[This Article Newly Inserted on Jul. 22, 2016]",[본조신설 2016. 7. 22.]
행정일반,개인정보 보호법 시행령,"[This Article Newly Inserted on Jul. 22, 2016]",[본조신설 2016. 7. 22.]
행정일반,개인정보 보호법 시행령,"[This Article Newly Inserted on Jul. 22, 2016]",[본조신설 2016. 7. 22.]
행정일반,개인정보 보호법 시행령,"[This Article Newly Inserted on Jul. 22, 2016]",[본조신설 2016. 7. 22.]
행정일반,개인정보 보호법 시행령,"[This Article Newly Inserted on Jul. 22, 2016]",[본조신설 2016. 7. 22.]
행정일반,개인정보 보호법 시행령,"[This Article Newly Inserted on Jul. 22, 2016]",[본조신설 2016. 7. 22.]
행정일반,개인정보 보호법 시행령,"[This Article Newly Inserted on Jul. 22, 2016]",[본조신설 2016. 7. 22.]
행정일반,개인정보 보호법 시행령,1. The articles of incorporation;,1. 정관
행정일반,개인정보 보호법 시행령,"[This Article Newly Inserted on Aug. 6, 2014]",[본조신설 2014. 8. 6.]
행정일반,개인정보 보호법 시행령,"[This Article Newly Inserted on Aug. 4, 2020]",[본조신설 2020. 8. 4.]
행정일반,개인정보 보호법 시행령,"[This Article Newly Inserted on Aug. 4, 2020]",[본조신설 2020. 8. 4.]
행정일반,개인정보 보호법 시행령,"[This Article Newly Inserted on Aug. 4, 2020]",[본조신설 2020. 8. 4.]
행정일반,개인정보 보호법 시행령,"[This Article Newly Inserted on Aug. 4, 2020]",[본조신설 2020. 8. 4.]
행정일반,개인정보 보호법 시행령,"[This Article Newly Inserted on Aug. 4, 2020]",[본조신설 2020. 8. 4.]
행정일반,개인정보 보호법 시행령,"[This Article Newly Inserted on Aug. 4, 2020]",[본조신설 2020. 8. 4.]
행정일반,개인정보 보호법 시행령,"[This Article Newly Inserted on Aug. 4, 2020]",[본조신설 2020. 8. 4.]
행정일반,개인정보 보호법 시행령,"[This Article Newly Inserted on Aug. 4, 2020]",[본조신설 2020. 8. 4.]
행정일반,개인정보 보호법 시행령,"[This Article Newly Inserted on Aug. 4, 2020]",[본조신설 2020. 8. 4.]
행정일반,개인정보 보호법 시행령,"[This Article Newly Inserted on Aug. 4, 2020]",[본조신설 2020. 8. 4.]
행정일반,개인정보 보호법 시행령,"[This Article Newly Inserted on Aug. 4, 2020]",[본조신설 2020. 8. 4.]
행정일반,개인정보 보호법 시행령,"[This Article Newly Inserted on Aug. 4, 2020]",[본조신설 2020. 8. 4.]
행정일반,개인정보 보호법 시행령,"[This Article Newly Inserted on Jul. 22, 2016]",[본조신설 2016. 7. 22.]
행정일반,개인정보 보호법 시행령,"(1) Deleted. <Dec. 30, 2015>",① 삭제 <2015. 12. 30.>
행정일반,개인정보 보호법 시행령,"[This Article Newly Inserted on Aug. 6, 2014]",[본조신설 2014. 8. 6.]
행정일반,개인정보 보호법 시행령,"3. Deleted; <Dec. 24, 2018>",3. 삭제 <2018. 12. 24.>
행정일반,개인정보 보호법 시행령,"4. Deleted; <Dec. 24, 2018>",4. 삭제 <2018. 12. 24.>
행정일반,개인정보 보호법 시행령,"5. Deleted. <Dec. 24, 2018>",5. 삭제 <2018. 12. 24.>
행정일반,개인정보 보호법 시행령,"(3) Deleted. <Mar. 8, 2022>",③ 삭제 <2022. 3. 8.>
행정일반,공공기록물 관리에 관한 법률 시행령,"1. Deleted; <Mar. 31, 2020>",1. 삭제 <2020. 3. 31.>
행정일반,공공기록물 관리에 관한 법률 시행령,"2. Deleted; <Mar. 31, 2020>",2. 삭제 <2020. 3. 31.>
행정일반,공공기록물 관리에 관한 법률 시행령,"3. Deleted; <Mar. 31, 2020>",3. 삭제 <2020. 3. 31.>
행정일반,공공기록물 관리에 관한 법률 시행령,"4. Deleted; <Mar. 31, 2020>",4. 삭제 <2020. 3. 31.>
행정일반,공공기록물 관리에 관한 법률 시행령,"[This Article Newly Inserted on Jul. 5, 2022]",[본조신설 2022. 7. 5.]
행정일반,공공기록물 관리에 관한 법률 시행령,"[This Article Newly Inserted on Nov. 4, 2014]",[본조신설 2014. 11. 4.]
행정일반,공공기록물 관리에 관한 법률 시행령,"[This Article Newly Inserted on Mar. 31, 2020]",[본조신설 2020. 3. 31.]
행정일반,공공기록물 관리에 관한 법률 시행령,"(3) Deleted. <Jul. 5, 2022>",③ 삭제 <2022. 7. 5.>
행정일반,공공기록물 관리에 관한 법률 시행령,"[This Article Newly Inserted on May 26, 2020]",[본조신설 2020. 5. 26.]
행정일반,공공기록물 관리에 관한 법률 시행령,"[This Article Newly Inserted on May 26, 2020]",[본조신설 2020. 5. 26.]
행정일반,공공기록물 관리에 관한 법률 시행령,"[This Article Newly Inserted on May 26, 2020]",[본조신설 2020. 5. 26.]
행정일반,공공기록물 관리에 관한 법률 시행령,"[This Article Newly Inserted on May 26, 2020]",[본조신설 2020. 5. 26.]
행정일반,공공기록물 관리에 관한 법률 시행령,"(2) Deleted. <Sep. 19, 2017>",② 삭제 <2017. 9. 19.>
행정일반,공공기록물 관리에 관한 법률 시행령,"[This Article Newly Inserted on Jul. 5, 2022]",[본조신설 2022. 7. 5.]
행정일반,공공기록물 관리에 관한 법률 시행령,"[This Article Newly Inserted on Sep. 19, 2017]",[본조신설 2017. 9. 19.]
행정일반,공공기록물 관리에 관한 법률 시행령,"[This Article Newly Inserted on Mar. 31, 2020]",[본조신설 2020. 3. 31.]
행정일반,공공기록물 관리에 관한 법률 시행령,"3. Deleted; <Sep. 13, 2013>",3. 삭제 <2013. 9. 13.>
행정일반,공공기록물 관리에 관한 법률 시행령,"4. Deleted; <Sep. 13, 2013>",4. 삭제 <2013. 9. 13.>
행정일반,공공기록물 관리에 관한 법률 시행령,"5. Deleted. <Sep. 13, 2013>",5. 삭제 <2013. 9. 13.>
행정일반,공공기록물 관리에 관한 법률 시행령,"(4) Deleted. <Sep. 13, 2013>",④ 삭제 <2013. 9. 13.>
행정일반,공공기록물 관리에 관한 법률 시행령,"[This Article Newly Inserted on Sep. 13, 2013]",[본조신설 2013. 9. 13.]
행정일반,공익신고자 보호법 시행령,"[This Article Newly Inserted on Jan. 22, 2016]",[본조신설 2016. 1. 22.]
행정일반,공익신고자 보호법 시행령,"[This Article Newly Inserted on Jan. 22, 2016]",[본조신설 2016. 1. 22.]
행정일반,공익신고자 보호법 시행령,1. A member of the National Assembly of the Republic of Korea;,1. 국회의원
행정일반,공익신고자 보호법 시행령,"(3) Deleted. <Oct. 19, 2021>",③ 삭제 <2021. 10. 19.>
행정일반,공익신고자 보호법 시행령,"[This Article Newly Inserted on Jan. 22, 2016]",[본조신설 2016. 1. 22.]
행정일반,공익신고자 보호법 시행령,"[This Article Newly Inserted on Jan. 22, 2016]",[본조신설 2016. 1. 22.]
행정일반,공익신고자 보호법 시행령,"[This Article Newly Inserted on Oct. 17, 2017]",[본조신설 2017. 10. 17.]
행정일반,공익신고자 보호법 시행령,"(3) Deleted. <Oct. 19, 2021>",③ 삭제 <2021. 10. 19.>
행정일반,공익신고자 보호법 시행령,"[This Article Newly Inserted on Jan. 22, 2016]",[본조신설 2016. 1. 22.]
행정일반,공익신고자 보호법 시행령,"(3) Deleted. <Apr. 30, 2018>",③ 삭제 <2018. 4. 30.>
행정일반,공익신고자 보호법 시행령,"[This Article Newly Inserted on Apr. 30, 2018]",[본조신설 2018. 4. 30.]
행정일반,공익신고자 보호법 시행령,"[This Article Newly Inserted on Jan. 22, 2016]",[본조신설 2016. 1. 22.]
행정일반,공익신고자 보호법 시행령,"[This Article Newly Inserted on Apr. 8, 2014]",[본조신설 2014. 4. 8.]
행정일반,공익신고자 보호법 시행령,"[This Article Newly Inserted on Jan. 22, 2016]",[본조신설 2016. 1. 22.]
행정일반,공익신고자 보호법 시행령,"[This Article Newly Inserted on Jan. 22, 2016]",[본조신설 2016. 1. 22.]
행정일반,공익신고자 보호법 시행령,"[This Article Newly Inserted on Sep. 2, 2014]",[본조신설 2014. 9. 2.]
행정일반,국가안전보장회의법,"[This Article Newly Inserted by Act No. 12224, Jan. 10, 2014]",[본조신설 2014.1.10.]
행정일반,국가안전보장회의법,(2) Omitted.,② 생략
행정일반,국민보호와 공공안전을 위한 테러방지법 시행령,"4. Deleted; <by Presidential Decree No. 28211, Jul. 26, 2017>",4. 삭제 <2017. 7. 26.>
행정일반,대통령기록물 관리에 관한 법률,1. Perusal;,1. 열람
행정일반,대통령기록물 관리에 관한 법률,"[This Article Newly Inserted on Dec. 8, 2020]",[본조신설 2020. 12. 8.]
행정일반,대통령기록물 관리에 관한 법률,"[This Article Newly Inserted on Dec. 8, 2020]",[본조신설 2020. 12. 8.]
행정일반,대통령기록물 관리에 관한 법률,"[This Article Newly Inserted on Dec. 8, 2020]",[본조신설 2020. 12. 8.]
행정일반,민사소송 등에서의 전자문서 이용 등에 관한 법률,1. Civil Procedure Act;,1. 「민사소송법」
행정일반,민사소송 등에서의 전자문서 이용 등에 관한 법률,2. Family Litigation Act;,2. 「가사소송법」
행정일반,민사소송 등에서의 전자문서 이용 등에 관한 법률,3. Administrative Litigation Act;,3. 「행정소송법」
행정일반,민사소송 등에서의 전자문서 이용 등에 관한 법률,5. Civil Execution Act;,5. 「민사집행법」
행정일반,민원 처리에 관한 법률 시행령,"[This Article Newly Inserted on Jul. 11, 2022]",[본조신설 2022. 7. 11.]
행정일반,민원 처리에 관한 법률 시행령,"[This Article Newly Inserted on Jul. 11, 2022]",[본조신설 2022. 7. 11.]
행정일반,민원 처리에 관한 법률 시행령,"[This Article Newly Inserted on Jul. 11, 2022]",[본조신설 2022. 7. 11.]
행정일반,민원 처리에 관한 법률 시행령,"[This Article Newly Inserted on Oct. 5, 2021]",[본조신설 2021. 10. 5.]
행정일반,민원 처리에 관한 법률 시행령,"[This Article Newly Inserted on Oct. 5, 2021]",[본조신설 2021. 10. 5.]
행정일반,민원 처리에 관한 법률 시행령,"[This Article Newly Inserted on Jul. 11, 2022]",[본조신설 2022. 7. 11.]
행정일반,민원 처리에 관한 법률 시행령,"[This Article Newly Inserted on Jul. 11, 2022]",[본조신설 2022. 7. 11.]
행정일반,민원 처리에 관한 법률 시행령,"[This Article Newly Inserted on Jul. 11, 2022]",[본조신설 2022. 7. 11.]
행정일반,민원 처리에 관한 법률 시행령,"[This Article Newly Inserted on Jul. 11, 2022]",[본조신설 2022. 7. 11.]
행정일반,민원 처리에 관한 법률 시행령,"1. Deleted; <Jun. 4, 2019>",1. 삭제 <2019. 6. 4.>
행정일반,민원 처리에 관한 법률 시행령,"[This Article Newly Inserted on Jul. 11, 2022]",[본조신설 2022. 7. 11.]
행정일반,민원 처리에 관한 법률 시행령,"[This Article Newly Inserted on Jul. 11, 2022]",[본조신설 2022. 7. 11.]
행정일반,민원 처리에 관한 법률 시행령,"[This Article Newly Inserted on Jul. 11, 2022]",[본조신설 2022. 7. 11.]
행정일반,법령정보의 관리 및 제공에 관한 법률 시행령,3. Local governments;,3. 지방자치단체
행정일반,법령정보의 관리 및 제공에 관한 법률 시행령,1. The articles of incorporation;,1. 정관
행정일반,사회적 참사의 진상규명 및 안전사회 건설 등을 위한 특별법,"[This Article Newly Inserted on Dec. 22, 2020]",[본조신설 2020. 12. 22.]
행정일반,사회적 참사의 진상규명 및 안전사회 건설 등을 위한 특별법,"[This Article Newly Inserted on Dec. 22, 2020]",[본조신설 2020. 12. 22.]
행정일반,사회적 참사의 진상규명 및 안전사회 건설 등을 위한 특별법,"[This Article Newly Inserted on Dec. 22, 2020]",[본조신설 2020. 12. 22.]
행정일반,사회적 참사의 진상규명 및 안전사회 건설 등을 위한 특별법,2. A person testifying before the Commission;,2. 진술자
행정일반,사회적 참사의 진상규명 및 안전사회 건설 등을 위한 특별법,3. Participants.,3. 참여자
행정일반,사회적 참사의 진상규명 및 안전사회 건설 등을 위한 특별법 시행령,"[This Article Newly Inserted on May 11, 2021]",[본조신설 2021. 5. 11.]
행정일반,사회적 참사의 진상규명 및 안전사회 건설 등을 위한 특별법 시행령,"3. Deleted; <May 11, 2021>",3. 삭제 <2021. 5. 11.>
행정일반,사회적 참사의 진상규명 및 안전사회 건설 등을 위한 특별법 시행령,"[This Article Newly Inserted on May 11, 2021]",[본조신설 2021. 5. 11.]
행정일반,사회적 참사의 진상규명 및 안전사회 건설 등을 위한 특별법 시행령,"[This Article Newly Inserted on May 11, 2021]",[본조신설 2021. 5. 11.]
행정일반,사회적 참사의 진상규명 및 안전사회 건설 등을 위한 특별법 시행령,"[This Article Newly Inserted on Dec. 31, 2019]",[본조신설 2019. 12. 31.]
행정일반,사회적 참사의 진상규명 및 안전사회 건설 등을 위한 특별법 시행령,"[This Article Newly Inserted on Dec. 31, 2019]",[본조신설 2019. 12. 31.]
행정일반,약식절차 등에서의 전자문서 이용 등에 관한 법률,"6. Deleted; <Jun. 9, 2020>",6. 삭제 <2020. 6. 9.>
행정일반,온실가스 배출권의 할당 및 거래에 관한 법률 시행령,1. The Ministry of Economy and Finance;,1. 기획재정부
행정일반,온실가스 배출권의 할당 및 거래에 관한 법률 시행령,"2. The Ministry of Agriculture, Food and Rural Affairs;",2. 농림축산식품부
행정일반,온실가스 배출권의 할당 및 거래에 관한 법률 시행령,4. The Ministry of Environment;,4. 환경부
행정일반,온실가스 배출권의 할당 및 거래에 관한 법률 시행령,"5. The Ministry of Land, Infrastructure and Transport;",5. 국토교통부
행정일반,온실가스 배출권의 할당 및 거래에 관한 법률 시행령,6. The Office for Government Policy Coordination;,6. 국무조정실
행정일반,온실가스 배출권의 할당 및 거래에 관한 법률 시행령,1. A local government;,1. 지방자치단체
행정일반,온실가스 배출권의 할당 및 거래에 관한 법률 시행령,"1. Deleted; <Mar. 25, 2022>",1. 삭제 <2022. 3. 25.>
행정일반,행정심판법,3. Attorneys-at-law;,3. 변호사
행정일반,행정심판법,"[This Article Newly Inserted on Oct. 31, 2017]",[본조신설 2017. 10. 31.]
행정일반,행정심판법,"[This Article Newly Inserted on Oct. 31, 2017]",[본조신설 2017. 10. 31.]
행정일반,행정심판법,3. Urteilsformel;,3. 주문
행정일반,행정심판법,5. Grounds for appeal;,5. 이유
행정일반,행정심판법,"[This Article Newly Inserted on Apr. 18, 2017]",[본조신설 2017. 4. 18.]
행정일반,행정심판법 시행령,1. The Chief of Staff of the Office of the President;,1. 대통령비서실장
행정일반,행정심판법 시행령,2. The Director of the Office of National Security;,2. 국가안보실장
행정일반,행정심판법 시행령,5. The Director of the National Intelligence Service;,5. 국가정보원장
행정일반,행정심판법 시행령,4. Investigating evidence;,4. 증거조사
행정일반,행정심판법 시행령,"(1) Deleted. <by Presidential Decree No. 27538, Oct. 4, 2016>",① 삭제 <2016. 10. 4.>
행정일반,행정심판법 시행령,"(3) Deleted. <by Presidential Decree No. 27538, Oct. 4, 2016>",③ 삭제 <2016. 10. 4.>
행정일반,행정심판법 시행령,"[This Article Newly Inserted by Presidential Decree No. 29270, Oct. 30, 2018]",[본조신설 2018. 10. 30.]
행정일반,행정심판법 시행령,"[This Article Newly Inserted by Presidential Decree No. 29270, Oct. 30, 2018]",[본조신설 2018. 10. 30.]
행정일반,행정심판법 시행령,"[This Article Newly Inserted by Presidential Decree No. 29270, Oct. 30, 2018]",[본조신설 2018. 10. 30.]
행정일반,행정심판법 시행령,"[This Article Newly Inserted by Presidential Decree No. 29270, Oct. 30, 2018]",[본조신설 2018. 10. 30.]
행정일반,행정심판법 시행령,"[This Article Newly Inserted by Presidential Decree No. 29270, Oct. 30, 2018]",[본조신설 2018. 10. 30.]
행정일반,행정심판법 시행령,"[This Article Newly Inserted by Presidential Decree No. 28808, Apr. 17, 2018]",[본조신설 2018. 4. 17.]
행정일반,행정심판법 시행령,"[This Article Newly Inserted by Presidential Decree No. 28392, Oct. 17, 2017]",[본조신설 2017. 10. 17.]
행정일반,행정심판법 시행령,"[This Article Newly Inserted by Presidential Decree No. 27960, Mar. 27, 2017]",[본조신설 2017. 3. 27.]
